,position,company,state,salary,currency,start_sal,end_sal,term
0,Sales Admin Assistant,S L NG Group of Companies,"Melaka, Johor Bahru",MYR 1.8K - 2.5K monthly,MYR,1800,2500,monthly
1,CUSTOMER SERVICE REPRESENTATIVE (3 MONTHS CONTRACT) - JAN 2021 INTAKE,Intelek Talent Solutions Sdn Bhd,Kuala Lumpur,MYR 1.8K - 2.1K monthly,MYR,1800,2100,monthly
3,Management Trainee,Taiko Marketing Sdn. Bhd.,Selangor,MYR 2.5K - 3.3K monthly,MYR,2500,3300,monthly
4,INDO SPEAKER | CUSTOMER SERVICE PROFESSIONAL,SRG Asia Pacific Sdn. Bhd.,Kuala Lumpur,MYR 2.5K - 3K monthly,MYR,2500,3000,monthly
5,Warehouse Assistant,Zuellig Pharma Sdn Bhd,Shah Alam/Subang,MYR 1.5K - 2.5K monthly,MYR,1500,2500,monthly
6,Customer Loyalty Program Administration Executive,Agensi Pekerjaan Chrisjac Sdn Bhd,Petaling Jaya,MYR 2.5K - 3K monthly,MYR,2500,3000,monthly
7,MANAGEMENT TRAINEE,Wei Wo Sdn Bhd,"Johor Bahru, Batu Pahat, Muar, Kluang",MYR 2.8K - 4K monthly,MYR,2800,4000,monthly
9,Beautician - Assistant (Klang),Agensi Pekerjaan SGS Sdn Bhd (JTKSM 416A),Selangor,MYR 1.5K - 3K monthly,MYR,1500,3000,monthly
12,"Property Agent, Property Consultant (Part / Full Time) 房地产中介","IQI GLOBAL CS GROUP LEADER - MATTHEW YAP (FOUNDER OF MYG, 13 Years Experience)",Kuala Lumpur,MYR 8K - 16K monthly,MYR,8000,1000,monthly
13,Human Resources & Administrative,S L NG Group of Companies,Johor Bahru,MYR 1.6K - 2.3K monthly,MYR,1600,2300,monthly
22,Merchandiser ( Home Decor ),MajuHome,Kuala Lumpur,MYR 3K - 5K monthly,MYR,3000,5000,monthly
23,Admin Assistant,REYOUNG BEAUTE (M) SDN. BHD.,Petaling Jaya,MYR 2K - 2.8K monthly,MYR,2000,2800,monthly
25,Country Manager – Fintech Solutions (e-KYC Provider) – Home Based,Capita Global Sdn Bhd,Kuala Lumpur,MYR 16K - 21K monthly,MYR,1000,2000,monthly
29,Unit Trust Consultant,Public Mutual Berhad - Rachel Lee,"Johor, Kedah, Kuala Lumpur, Kelantan, Penang, Pahang, Perak, Sabah, Selangor, Sarawak",MYR 5K - 10K monthly,MYR,5000,1000,monthly
30,Data Entry Clerk (based in Sepang),Arissto Bakery Sdn Bhd,Negeri Sembilan,MYR 1.5K - 1.8K monthly,MYR,1500,1800,monthly
36,Intellectual Property (IP) Intern,IP Gennesis Sdn. Bhd.,Kuala Lumpur,MYR 700 - 1K monthly,MYR,700,1000,monthly
37,Internship For Personal Assistant,Vinsure Management Services,Johor,MYR 500 - 1K monthly,MYR,500,1000,monthly
39,Purchasing Assistant,Artwright Group,Kuala Lumpur,MYR 2K - 2.5K monthly,MYR,2000,2500,monthly
40,Customer Service cum Admin,Agensi Pekerjaan Matchlink Sdn Bhd,"Kuala Lumpur, Selangor, Sarawak",MYR 2K - 2.5K monthly,MYR,2000,2500,monthly
41,CUSTOMER SERVICE EXECUTIVE - INBOUND CALLS (BANGSAR),Kelly Services (Malaysia) Sdn Bhd,Kuala Lumpur,MYR 1.8K - 2K monthly,MYR,1800,2000,monthly
43,DRAUGHTSMAN,Xin Xin Engineering Sdn Bhd,Rawang,MYR 3K - 5K monthly,MYR,3000,5000,monthly
44,Admin,Istevin Champions,Johor Bahru,MYR 2.2K - 3.1K monthly,MYR,2200,3100,monthly
45,Personal Assistant cum Sales Support to Managing Director,IP SERVERONE SOLUTIONS SDN BHD,Petaling Jaya,MYR 3.5K - 4.5K monthly,MYR,3500,4500,monthly
46,LORRY DRIVER,SUJI HARDWARE SDN. BHD.,Selangor,MYR 1.8K - 2.7K monthly,MYR,1800,2700,monthly
48,Property Sales Person,Multiplex Development Sdn Bhd,Nilai,MYR 2.5K - 3.5K monthly,MYR,2500,3500,monthly
50,Salesman (manager),CHM Motorcycle Sdn Bhd,Johor Bahru,MYR 3K - 6K monthly,MYR,3000,6000,monthly
51,Customer Relations Assistant,Elken Service Sdn Bhd,"Johor Bahru, Kuala Lumpur, Melaka, Selangor",MYR 1.8K - 2.5K monthly,MYR,1800,2500,monthly
53,Floor Servicing Crew,Down to Bones,Kuala Lumpur,MYR 1.5K - 1.7K monthly,MYR,1500,1700,monthly
54,Junior Sales Executive,GENBIJAK DOTMY SDN. BHD.-,"Kuala Lumpur, Selangor",MYR 2.5K - 3.5K monthly,MYR,2500,3500,monthly
55,HR & Admin Assistant,My Hero Hypermarket Sdn Bhd,Ampang,MYR 1.5K - 1.9K monthly,MYR,1500,1900,monthly
56,Telemarketer,MUNICH ALPINA SDN BHD,Johor,MYR 1.3K - 1.5K monthly,MYR,1300,1500,monthly
57,Human resources manager,Ample Couture Sdn Bhd,Kuala Lumpur,MYR 5K - 7K monthly,MYR,5000,7000,monthly
59,3D Generalist,Moving Apes Studio Sdn Bhd,Petaling Jaya,MYR 2.5K - 3.5K monthly,MYR,2500,3500,monthly
60,Internship for Video Editor,GogoKids Technologies Sdn. Bhd.,Kuala Lumpur,MYR 700 - 1K monthly,MYR,700,1000,monthly
62,Public Relations Officer,China Communications Construction (ECRL) Sdn. Bhd.,Kuantan,MYR 3.5K - 4.5K monthly,MYR,3500,4500,monthly
63,Beutician Cum Receptionist,PETERS RADIANT CLINIC,Shah Alam/Subang,MYR 1.5K - 2.1K monthly,MYR,1500,2100,monthly
68,VENTURE WEALTH MANAGER,Company Confidential,Selangor,MYR 8K - 10K monthly,MYR,8000,1000,monthly
70,Purchasing Assistant,Quinform Sdn Bhd,Seremban,MYR 1.5K - 2K monthly,MYR,1500,2000,monthly
71,Operation Clerk,YAMATO TRANSPORT (M) SDN BHD,Penang,MYR 1.3K - 1.5K monthly,MYR,1300,1500,monthly
74,Sales Consultant | Property| Hartanah| Realestate,TEDHARTA CONSULTANCY,Melaka,MYR 4K - 8K monthly,MYR,4000,8000,monthly
75,TAKAFUL CONSULTANT,Qursani Connextion Sdn Bhd,Shah Alam/Subang,MYR 2.5K - 5K monthly,MYR,2500,5000,monthly
76,Food & Beverage Server,Sunway Medical Centre Sdn Bhd,Selangor,MYR 1.3K - 1.6K monthly,MYR,1300,1600,monthly
77,[Korean Speakers] Content Review Analyst,AGENSI PEKERJAAN SELPEO SDN. BHD.,National Capital Reg,MYR 5.5K - 6K monthly,MYR,5500,6000,monthly
78,Motion Graphics Designer,Moving Apes Studio Sdn Bhd,Petaling Jaya,MYR 2.5K - 3.5K monthly,MYR,2500,3500,monthly
79,Financial Advisor (Basic + Commission),THE DREAM SOLUTION,Petaling Jaya,MYR 3K - 6K monthly,MYR,3000,6000,monthly
81,Accommodation Sales Person,GFG HOME REALTY SDN BHD,Shah Alam/Subang,MYR 2.2K - 4K monthly,MYR,2200,4000,monthly
83,Video Editor cum Videographer,vimigo,Kuala Lumpur,MYR 2.5K - 4.5K monthly,MYR,2500,4500,monthly
84,Visual Merchandiser,Jie Communication Sdn Bhd (realme Malaysia）,Petaling Jaya,MYR 2.5K - 3.5K monthly,MYR,2500,3500,monthly
90,Video Editor,EHATI INTERNATIONAL SDN. BHD.,Selangor,MYR 1.8K - 2.7K monthly,MYR,1800,2700,monthly
91,Indoor Telemarketing,SRG Asia Pacific Sdn. Bhd.,Kuala Lumpur,MYR 2.6K - 3.5K monthly,MYR,2600,3500,monthly
95,"Account Cum Admin Clerk @ Assistant (Sime UEP, shah alam)",AGENSI PEKERJAAN DREAM CAREER SDN BHD,Selangor,MYR 2K - 3K monthly,MYR,2000,3000,monthly
96,Caretaker cum Driver,Texchem Corporation Sdn Bhd,Penang,MYR 1.5K - 1.8K monthly,MYR,1500,1800,monthly
98,Inbound Sales Representatives,SRG Asia Pacific Sdn. Bhd.,Kuala Lumpur,MYR 2.6K - 3.5K monthly,MYR,2600,3500,monthly
99,Customer Service Executive,Bills Logistic Solution Sdn Bhd,Shah Alam/Subang,MYR 2K - 2.8K monthly,MYR,2000,2800,monthly
100,Sales Operation,SRG Asia Pacific Sdn. Bhd.,Kuala Lumpur,MYR 2.6K - 3.5K monthly,MYR,2600,3500,monthly
101,Product Specialist,SWISSMED SDN. BHD.,"Kuala Lumpur, Selangor, Melaka",MYR 2.5K - 4K monthly,MYR,2500,4000,monthly
103,Sales Assistant,HAIKAL PARENTING MANAGEMENT SDN BHD,Lumut,MYR 300 - 500 monthly,MYR,300,500,monthly
104,Account Cum Admin Executive,PalletXPert Malaysia Sdn Bhd,Melaka,MYR 1.5K - 3K monthly,MYR,1500,3000,monthly
105,Telemarketer Executive,EHATI INTERNATIONAL SDN. BHD.,Selangor,MYR 1.6K - 3.2K monthly,MYR,1600,3200,monthly
106,Accountant (5 days week),Company Confidential,Selangor,MYR 7K - 10K monthly,MYR,7000,1000,monthly
109,Real Estate Negotiator Property Agent 房地产销售员,Good Properties,Kuala Lumpur,MYR 5K - 10K monthly,MYR,5000,1000,monthly
111,Indoor Sales Representatives,SRG Asia Pacific Sdn. Bhd.,Kuala Lumpur,MYR 2.6K - 3.5K monthly,MYR,2600,3500,monthly
113,Aesthetic Consultant,BELLA CLINIC,Kuala Lumpur,MYR 3K - 5K monthly,MYR,3000,5000,monthly
114,GRAPHIC DESIGN ASSISTANT EXECUTIVE,Ornapaper Industry (M) Sdn. Bhd.,Melaka,MYR 1.8K - 2.6K monthly,MYR,1800,2600,monthly
115,Account Executive,NEUTRAL CONSULTING PLT,Subang Jaya,MYR 2K - 3K monthly,MYR,2000,3000,monthly
116,Administrator,ACADEMY OF SCIENCES MALAYSIA,Kuala Lumpur,MYR 3K - 4.2K monthly,MYR,3000,4200,monthly
118,Accounts cum Admin Assistant ( 会计兼行政助理 ),Company Confidential,Kuala Lumpur,MYR 1.8K - 3.2K monthly,MYR,1800,3200,monthly
119,"Sales - Financial Services (Insurance, Unit Trust ) based in Johor Bahru",Echelon Consulting Group,Johor,MYR 4K - 8K monthly,MYR,4000,8000,monthly
120,SALES & MARKETING EXECUTIVE (PART TIME / FULL TIME),S & L Victory Wealth Advisory,Kuala Lumpur,MYR 3K - 6K monthly,MYR,3000,6000,monthly
121,IT Technical Support Executive,NETT SYSTEMS (MSC) SDN. BHD.,Selangor,MYR 2.2K - 3.2K monthly,MYR,2200,3200,monthly
128,Inbound Sales Consultant,SRG Asia Pacific Sdn. Bhd.,Kuala Lumpur,MYR 2.6K - 3.5K monthly,MYR,2600,3500,monthly
129,Purchasing Buyer,Tian Ma Bird Nest Sdn Bhd,Sungai Petani,MYR 3K - 3.5K monthly,MYR,3000,3500,monthly
130,Interior Designer,Klaas Design & Build,"Johor Bahru, Kuala Lumpur, Kota Bharu, Melaka, Negeri Sembilan, Penang, Pahang, Ipoh, Sabah, Selangor",MYR 4.5K - 6K monthly,MYR,4500,6000,monthly
131,办公室文员Office clerk,Shaanxi Construction Engineering（Malaysia）  Sdn. Bhd.,Kuala Lumpur,MYR 3K - 4K monthly,MYR,3000,4000,monthly
132,Sales Executive (Fresh Graduates) 销售业务代表 - Klang Area,SAGOSA (M) SDN. BHD.,Selangor,MYR 3.5K - 4K monthly,MYR,3500,4000,monthly
133,Business Development Executive,EST Advisory Management Sdn Bhd,"Kuala Lumpur, Selangor",MYR 4K - 6K monthly,MYR,4000,6000,monthly
134,Customer Service,Adnspire Media Sdn Bhd,Kuala Lumpur,MYR 1.3K - 1.8K monthly,MYR,1300,1800,monthly
136,SHOP ASSISTANT,Treenity Marketing,Petaling Jaya,MYR 1.4K - 2.5K monthly,MYR,1400,2500,monthly
138,Security Guard (Pengawal Keselamatan),FFM Berhad,Selangor - Others,MYR 1.5K - 1.6K monthly,MYR,1500,1600,monthly
139,Business Centre Sales Advisor,SRG Asia Pacific Sdn. Bhd.,Kuala Lumpur,MYR 2.6K - 3.5K monthly,MYR,2600,3500,monthly
140,Online Customer Service,Le Ann International Sdn Bhd,Kuala Lumpur,MYR 2.5K - 3.5K monthly,MYR,2500,3500,monthly
141,Finance and Administration Specialist,"STARLUX Airlines Co., LTD.",Kuala Lumpur,MYR 2.5K - 3.5K monthly,MYR,2500,3500,monthly
142,Team Lead Operations (Call Centre),EMCO Executives Sdn Bhd,"Johor Bahru, Kuala Lumpur, Selangor",MYR 4K - 5K monthly,MYR,4000,5000,monthly
144,Corporate Sales Consultant,SRG Asia Pacific Sdn. Bhd.,Kuala Lumpur,MYR 2.6K - 3.5K monthly,MYR,2600,3500,monthly
146,Documentation Officer,AGL Fittings Sdn Bhd,Kuala Lumpur,MYR 2.5K - 3.5K monthly,MYR,2500,3500,monthly
147,TELEMARKETING,NOBILITY TECHNOLOGY & ACADEMY SDN. BHD.,Kuala Lumpur,MYR 5K - 10K monthly,MYR,5000,1000,monthly
149,"Real Estate Agent (Part-Time  Full-Time),Property Sales Executive",IQI Realty SDN. BHD - BRYAN WONG (Head Of Team),"Kuala Lumpur, Selangor",MYR 10K - 20K monthly,MYR,1000,2000,monthly
150,Social Media Marketing Assistant,HAIKAL PARENTING MANAGEMENT SDN BHD,Lumut,MYR 300 - 500 monthly,MYR,300,500,monthly
151,Nanostix sales support specialist HQ,NanoSTIX Innovations Sdn Bhd,Ampang,MYR 1.8K - 2.2K monthly,MYR,1800,2200,monthly
152,Business Development Manager,Tanashin (Malacca) Sdn Bhd,Melaka,MYR 3.5K - 4.9K monthly,MYR,3500,4900,monthly
153,Storekeeper (Bukit Beruntung),Kejuruteraan Yun Loong Sdn Bhd,"Rawang, Selayang",MYR 1.2K - 1.5K monthly,MYR,1200,1500,monthly
157,HR ADMIN ASSISTANT,IMPACKONE SDN. BHD.,Johor - Others,MYR 1.5K - 2K monthly,MYR,1500,2000,monthly
160,Account Admin Assistant,CHM Motorcycle Sdn Bhd,Johor Bahru,MYR 2.5K - 4.5K monthly,MYR,2500,4500,monthly
161,GENERAL WORKER,DTS GROUP SDN BHD,Klang/Port Klang,MYR 1.7K - 2.6K monthly,MYR,1700,2600,monthly
162,Legal Manager,Company Confidential,Kuala Lumpur,MYR 8K - 11K monthly,MYR,8000,1000,monthly
163,JUNIOR FRONTEND DEVELOPER,Baloy Sdn. Bhd.,Shah Alam/Subang,MYR 6K - 8K monthly,MYR,6000,8000,monthly
164,Customer Relationship Management (CRM) Support for E-Commerce - 6 months,Prospect Consulting Malaysia Sdn Bhd,Kuala Lumpur,MYR 3K - 4K monthly,MYR,3000,4000,monthly
166,Account Managers - Digital Marketing Agency,Company Confidential,Petaling Jaya,MYR 5.5K - 7.7K monthly,MYR,5500,7700,monthly
167,Internship for Digital Marketing,GogoKids Technologies Sdn. Bhd.,Kuala Lumpur,MYR 700 - 1K monthly,MYR,700,1000,monthly
168,"Sales Consultant , Assistant Sales Manager - Personal Financing, Elite Team",RHB Banking Group,Kuala Lumpur,MYR 2K - 4K monthly,MYR,2000,4000,monthly
170,Digital Data Reviewer-Tagalog Support (Bandar Sunway),Accenture Technology Solutions Sdn Bhd,Kuala Lumpur,MYR 3K - 3.2K monthly,MYR,3000,3200,monthly
171,Sales Executive,EIK Engineering Sdn Bhd,Johor,MYR 2.1K - 4.2K monthly,MYR,2100,4200,monthly
174,SALES AND MARKETING EXCUTIVE,ULIK CONSTRUCTION SDN. BHD,Subang Jaya,MYR 7K - 9.8K monthly,MYR,7000,9800,monthly
175,Assistant Document Controller,Company Confidential,Selangor,MYR 2.5K - 2.7K monthly,MYR,2500,2700,monthly
176,Inbound Sales Executive,SRG Asia Pacific Sdn. Bhd.,Kuala Lumpur,MYR 2.6K - 3.5K monthly,MYR,2600,3500,monthly
177,Corporate Sales Specialist,SRG Asia Pacific Sdn. Bhd.,Kuala Lumpur,MYR 2.6K - 3.5K monthly,MYR,2600,3500,monthly
179,Product Consultant Call Centre (Office Hour/Immediate Hiring),Agensi Pekerjaan CareerXcell Sdn Bhd - TDDI2016,Kuala Lumpur,MYR 1.5K - 1.7K monthly,MYR,1500,1700,monthly
180,Order Management Executive,LH Plus Sdn Bhd,Shah Alam/Subang,MYR 2.5K - 3.5K monthly,MYR,2500,3500,monthly
181,Motion Graphics Artist cum Video Editor,Phatjuice (Malaysia) Sdn. Bhd.,Subang Jaya,MYR 2K - 3.5K monthly,MYR,2000,3500,monthly
182,Store Commercial Responsible/Manager,LC WAIKIKI RETAIL MY SDN. BHD.,"Kuala Lumpur, Selangor",MYR 2.5K - 3.3K monthly,MYR,2500,3300,monthly
184,FINANCIAL ADVISOR,YMT DEVELOPMENT RESOURCES,Johor Bahru,MYR 1.2K - 1.7K monthly,MYR,1200,1700,monthly
186,security Operation Manager,Inspira Security Sdn Bhd,Kuala Lumpur,MYR 3K - 4.2K monthly,MYR,3000,4200,monthly
193,Sales cum Marketing Consultant,Sky alliance development sdn bhd,Subang Jaya,MYR 2.5K - 3.8K monthly,MYR,2500,3800,monthly
196,Customer Service Executive - Islamic Banking (Immediate Hiring Jan Intake),Agensi Pekerjaan CareerXcell Sdn Bhd - TDDI2016,Kuala Lumpur,MYR 2.5K - 2.8K monthly,MYR,2500,2800,monthly
198,Admin Assistant行政助理 (Fresh Graduate),Pan Elite Resources Sdn Bhd,Johor - Others,MYR 1.4K - 2.2K monthly,MYR,1400,2200,monthly
199,Sales Specialist - Production Printing,Ricoh (Malaysia) Sdn. Bhd.,"Petaling Jaya, Shah Alam/Subang",MYR 3.5K - 5K monthly,MYR,3500,5000,monthly
200,Services Crew (Waterfront Desa Park City),Company Confidential,Kuala Lumpur,MYR 1.5K - 1.8K monthly,MYR,1500,1800,monthly
201,平面设计师 Graphic Designer,Efast Color Print Sdn Bhd,Melaka,MYR 1.6K - 2.2K monthly,MYR,1600,2200,monthly
204,Chemical Technician,Taiko Marketing Sdn. Bhd.,Klang/Port Klang,MYR 2K - 2.8K monthly,MYR,2000,2800,monthly
206,Digital Content Creator (based in Sepang),Arissto Bakery Sdn Bhd,Negeri Sembilan,MYR 2.8K - 3.5K monthly,MYR,2800,3500,monthly
210,Drafter,New Age Aluminium Industries Sdn Bhd,Shah Alam/Subang,MYR 2.5K - 4K monthly,MYR,2500,4000,monthly
212,Sales Executive,Tech Titan Distribution Sdn Bhd,Selangor,MYR 2.5K - 4.5K monthly,MYR,2500,4500,monthly
213,Guest Service Assistant (Hotel Industry),AMAN TIOMAN BEACH RESORT SDN. BHD.,Pahang - Others,MYR 1.1K - 1.5K monthly,MYR,1100,1500,monthly
214,客服Customer service,MATRIX TALENT HUMAN RESOURCES SDN. BHD.,Sabah,MYR 1.6K - 2.3K monthly,MYR,1600,2300,monthly
215,UNIT TRUST CONSULTANT (AS BUSINESS PARTNER),PUBLIC MUTUAL BERHAD,"Kuala Lumpur, Selangor",MYR 4K - 8K monthly,MYR,4000,8000,monthly
216,Internship for Business Studies/Administration Students,Yamato Transport (M) Sdn Bhd,Selangor,MYR 600 - 600 monthly,MYR,600,600,monthly
217,行政助理 Sales Admin,Straits Advisor Sdn Bhd,"Penang, Selangor, Kuala Lumpur",MYR 1.5K - 3K monthly,MYR,1500,3000,monthly
219,Digital Marketing Manager,PLANTATIONS INTERNATIONAL AGARWOOD SDN. BHD.,Kuala Lumpur,MYR 4K - 5K monthly,MYR,4000,5000,monthly
220,Christmas Team Member - City Square,LOVISA PTY LTD,Johor,MYR 7 - 10 monthly,MYR,7,10,monthly
221,Business Development Executive,Exaltech Sdn Bhd,Petaling Jaya,MYR 3K - 5K monthly,MYR,3000,5000,monthly
223,Production operator,METAROM ASIA Sdn Bhd (1282751-H),Selangor,MYR 1.4K - 1.7K monthly,MYR,1400,1700,monthly
224,Analyst,Maxis Broadband Sdn Bhd,Kuala Lumpur,MYR 8K - 10K monthly,MYR,8000,1000,monthly
225,Customer Service Executive (Penang) - 2 positions,Lean Giap Group of Companies,George Town,MYR 2K - 2.3K monthly,MYR,2000,2300,monthly
227,Service admin,Coolcare Solutions Sdn Bhd,Kuala Lumpur,MYR 1.8K - 3K monthly,MYR,1800,3000,monthly
228,Personal Assistant,Megaton Executive Premier Agency,Johor Bahru,MYR 2K - 3K monthly,MYR,2000,3000,monthly
230,Services Crew (Desa Sri Hartamas),Company Confidential,Kuala Lumpur,MYR 1.5K - 1.8K monthly,MYR,1500,1800,monthly
231,Legal Executive,Company Confidential,Kuala Lumpur,MYR 5K - 7K monthly,MYR,5000,7000,monthly
234,Production Executive,New Age Aluminium Industries Sdn Bhd,Shah Alam/Subang,MYR 2.5K - 4K monthly,MYR,2500,4000,monthly
236,BUSINESS DEVELOPMENT EXECUTIVE,JB GIFT & SOUVENIR (M) SDN BHD,Johor,MYR 1.5K - 3K monthly,MYR,1500,3000,monthly
240,Clerk cum Receptionist,JX Brothers (M) Sdn. Bhd.,Rawang,MYR 2K - 2.3K monthly,MYR,2000,2300,monthly
241,Sales Representative,STM Technologies Sdn Bhd,Selangor,MYR 2.5K - 3.5K monthly,MYR,2500,3500,monthly
242,CLINIC ASSISTANT,SITI HEALTHCARE SDN. BHD.,Selangor,MYR 1.1K - 1.3K monthly,MYR,1100,1300,monthly
243,Social Media Executive (Content Writer) - (URGENT HIRING),Hive Marketing Sdn Bhd,Petaling Jaya,MYR 1.6K - 2K monthly,MYR,1600,2000,monthly
244,Business Development Executive,Kar Master Auto Sdn Bhd,Alor Setar,MYR 2K - 3.5K monthly,MYR,2000,3500,monthly
245,Personal Driver,WCM Oil & Gas Sdn Bhd,Selangor,MYR 2K - 4K monthly,MYR,2000,4000,monthly
247,家族及企业信托顾问 ( Sales Consultant),IIE PREMIER ADVISORY,Bukit Mertajam,MYR 3K - 3.6K monthly,MYR,3000,3600,monthly
248,Customer Care - Resolution Owner,Lenovo,Selangor,MYR 6K - 8K monthly,MYR,6000,8000,monthly
251,Corporate Sales-IT Training Provider @ Bandar Utama REF:SL,Capita Global Sdn Bhd,Selangor,MYR 2.5K - 3.5K monthly,MYR,2500,3500,monthly
253,"Sales Mgr, PF @ Persiaran Sultan Ibrahim Klang Sales Hub",RHB Banking Group,Klang/Port Klang,MYR 5K - 7K monthly,MYR,5000,7000,monthly
255,JUNIOR NET SOFTWARE DEVELOPER,Baloy Sdn. Bhd.,Shah Alam/Subang,MYR 6K - 8K monthly,MYR,6000,8000,monthly
256,Systems Analyst,NETT SYSTEMS (MSC) SDN. BHD.,Selangor,MYR 3.5K - 4.5K monthly,MYR,3500,4500,monthly
258,Customer Service Executive,MoneySmart Singapore,"Queenstown, Central",MYR 3K - 3.5K monthly,MYR,3000,3500,monthly
259,Graduate Trainee (Diploma),Infineon Technologies (Kulim) Sdn Bhd,Kulim,MYR 1.6K - 1.6K monthly,MYR,1600,1600,monthly
260,HR & ADMIN EXECUTIVE,RIGHT PRISTINE MANPRO SDN BHD,Bayan Lepas,MYR 2.5K - 3.5K monthly,MYR,2500,3500,monthly
262,Security Operation Agents,Full Image Sdn Bhd,Selangor,MYR 1.2K - 1.8K monthly,MYR,1200,1800,monthly
263,Property Real Estate Sales Negotiator l Listing provided!,XY Properties,Johor,MYR 5K - 10K monthly,MYR,5000,1000,monthly
264,Customer Service Team Lead (Mandarin Speaker),J&T EXPRESS (MALAYSIA) SDN. BHD. - SOUTH SELANGOR,Selangor,MYR 4K - 7.5K monthly,MYR,4000,7500,monthly
266,Telemarketing Executive 电话营销专员,ROMA MANAGEMENT SDN. BHD.,Kuala Lumpur,MYR 5K - 7K monthly,MYR,5000,7000,monthly
271,"Services Crew (The Row, Kuala Lumpur)",Company Confidential,Kuala Lumpur,MYR 1.5K - 1.8K monthly,MYR,1500,1800,monthly
272,System Administrator,ACADEMY OF SCIENCES MALAYSIA,Kuala Lumpur,MYR 3.2K - 4.5K monthly,MYR,3200,4500,monthly
273,Sales Coordinator,Fibermind Technology Sdn Bhd,Shah Alam/Subang,MYR 1.8K - 2.5K monthly,MYR,1800,2500,monthly
274,Customer Service Export Executive (Shipping),Newstar Agencies Sdn Bhd,Klang/Port Klang,MYR 2.5K - 3K monthly,MYR,2500,3000,monthly
275,Admin assistant,YS ASIA SDN BHD,Klang/Port Klang,MYR 1.5K - 2K monthly,MYR,1500,2000,monthly
276,"Tea Lady cum Office Cleaner - Rawang, Selangor",Dai Dong Steel Sdn Bhd,Rawang,MYR 1.2K - 1.3K monthly,MYR,1200,1300,monthly
277,Social Media Specialist,Gemilang Vss Sdn Bhd,Kuala Lumpur,MYR 2.3K - 3K monthly,MYR,2300,3000,monthly
280,Manager TCS (Trust Services) Labuan OR KL base,TMF Group,Kuala Lumpur,MYR 6K - 8K monthly,MYR,6000,8000,monthly
283,Sales Associate,Anniqh Gold Bullion Trading Sdn Bhd,"Kuala Lumpur, Kajang/Bangi/Serdang",MYR 1.4K - 1.5K monthly,MYR,1400,1500,monthly
285,Digital Marketing Manager,Business Media International Sdn. Bhd.,Petaling Jaya,MYR 5K - 7K monthly,MYR,5000,7000,monthly
286,Assistant Engineer,Armstrong Technology Sdn Bhd,Bukit Mertajam,MYR 2K - 2.5K monthly,MYR,2000,2500,monthly
287,HR Assistant,HONEST SAM DEVELOPMENT SDN. BHD.,Kuantan,MYR 2K - 2.5K monthly,MYR,2000,2500,monthly
290,Mechanical Engineer (Energy Team),TIMMINS TRAINING CONSULTING SDN. BHD.,Bayan Lepas,MYR 3.5K - 5.5K monthly,MYR,3500,5500,monthly
291,CREDIT ANALYST EXECUTIVE,JCL Credit Leasing Sdn Bhd,Kuala Lumpur,MYR 2K - 4K monthly,MYR,2000,4000,monthly
295,Baker,CL Bakery Sdn Bhd,"Kuala Lumpur, Subang Jaya",MYR 1.6K - 2.6K monthly,MYR,1600,2600,monthly
297,Account cum Admin,Q HORIZON SDN. BHD.,Petaling Jaya,MYR 3K - 4.5K monthly,MYR,3000,4500,monthly
303,Showroom Sales Executive,MajuHome,"Petaling Jaya, Subang Jaya, Kuala Lumpur",MYR 4K - 7K monthly,MYR,4000,7000,monthly
305,Customer Service Representative | MNC | Kota Kinabalu,TWY Search International (M) Sdn Bhd,Sabah,MYR 1.7K - 2K monthly,MYR,1700,2000,monthly
306,Insurance Customer Care Specialist [UK Region] [UK Time Zone 4pm - 1am] [RM4k],Company Confidential,Kuala Lumpur,MYR 3K - 4K monthly,MYR,3000,4000,monthly
308,Customer Sales (Basic + Commission | WFH | Support China Market),TWY Search International (M) Sdn Bhd,Kuala Lumpur,MYR 2.6K - 3K monthly,MYR,2600,3000,monthly
309,Internship for Marketing Students,Good Properties,Kuala Lumpur,MYR 400 - 600 monthly,MYR,400,600,monthly
310,Store Supervisor,Syarikat Jun Chong Sdn Bhd,Kluang,MYR 2K - 3.5K monthly,MYR,2000,3500,monthly
316,ONLINE CUSTOMER SUPPORT CUM SALES EXECUTIVE,PUNCAK STAINLESS STEEL & MACHINERY SDN BHD,Kota Bharu,MYR 1.8K - 2.7K monthly,MYR,1800,2700,monthly
321,Graphic Designer cum Marketing,KB SOON HUAT SUPERBIKE & ACCESSORIES CENTER,Butterworth,MYR 2K - 2.5K monthly,MYR,2000,2500,monthly
326,UI Designer,Cubee Technology (M) Sdn Bhd,Petaling Jaya,MYR 4K - 6K monthly,MYR,4000,6000,monthly
327,Retail Fashion Associate-MITSUI OUTLET PARK KLIA,HLA  GARMENT (SINGAPORE) PTE. LTD.,Cyberjaya,MYR 1.8K - 2.7K monthly,MYR,1800,2700,monthly
330,Admin Executive,Candour Motors Sdn Bhd,Selangor,MYR 3K - 4K monthly,MYR,3000,4000,monthly
332,Personal Assistant to Director,AGENSI PEKERJAAN EMA SDN BHD (Recruitment Firm),"Sungai Petani, Penang",MYR 2K - 3K monthly,MYR,2000,3000,monthly
333,Telesales,SRG Asia Pacific Sdn. Bhd.,Kuala Lumpur,MYR 2.6K - 3.5K monthly,MYR,2600,3500,monthly
